queue_event_id,centre_id,event_timestamp,queue_length,active_counters,avg_quantity_qtl,avg_service_time_min,hour,weather_condition,no_show_count,observed_wait_time_min,daily_capacity_qtl,daily_farmer_capacity,service_counters,historical_on_time_rate,historical_processing_efficiency,slot_fill_rate,day_of_week
Q000233,C002,2026-09-11 15:38:00,44,3,9,7,14,cloudy,2,15,90,150,3,0.896,0.791,0.812,4
Q000234,C001,2026-09-03 10:26:00,38,3,19,20,17,cloudy,2,32,120,180,4,0.736,0.631,0.81,3
Q000235,C002,2026-09-16 22:51:00,62,3,29,10,10,rain,0,19,90,150,3,0.896,0.791,0.812,2
Q000236,C002,2026-09-07 07:48:00,27,1,23,20,10,clear,2,7,90,150,3,0.896,0.791,0.812,0
Q000237,C004,2026-09-30 11:54:00,32,5,24,5,17,clear,0,6,60,100,2,0.746,0.824,0.822,2
Q000238,C001,2026-09-06 14:58:00,53,4,17,7,16,rain,3,14,120,180,4,0.736,0.631,0.81,6
Q000239,C002,2026-09-30 00:58:00,1,3,18,7,18,cloudy,2,44,90,150,3,0.896,0.791,0.812,2
Q000240,C002,2026-09-20 09:58:00,13,5,28,7,12,clear,0,36,90,150,3,0.896,0.791,0.812,6
Q000241,C002,2026-09-29 01:41:00,25,3,31,20,11,rain,3,23,90,150,3,0.896,0.791,0.812,1
Q000242,C002,2026-09-03 03:32:00,70,4,34,10,15,rain,1,5,90,150,3,0.896,0.791,0.812,3
Q000243,C001,2026-09-05 09:42:00,14,5,26,19,10,clear,0,11,120,180,4,0.736,0.631,0.81,5
Q000244,C003,2026-09-30 16:17:00,29,4,14,12,15,clear,0,16,110,165,4,0.921,0.854,0.862,2
Q000245,C001,2026-09-14 13:52:00,46,3,18,7,9,clear,0,13,120,180,4,0.736,0.631,0.81,0
Q000246,C002,2026-09-16 07:29:00,45,4,35,12,9,rain,2,16,90,150,3,0.896,0.791,0.812,2
Q000247,C001,2026-09-19 14:15:00,51,4,13,16,15,rain,1,12,120,180,4,0.736,0.631,0.81,5
Q000248,C002,2026-09-04 00:33:00,20,1,18,19,17,cloudy,3,16,90,150,3,0.896,0.791,0.812,4
Q000249,C004,2026-09-17 16:11:00,78,1,32,8,15,rain,0,31,60,100,2,0.746,0.824,0.822,3
Q000250,C004,2026-09-03 10:42:00,8,3,25,14,8,cloudy,1,26,60,100,2,0.746,0.824,0.822,3
Q000251,C001,2026-09-21 01:17:00,31,4,16,16,10,cloudy,0,5,120,180,4,0.736,0.631,0.81,0
Q000252,C002,2026-09-24 08:42:00,60,4,32,9,9,rain,2,20,90,150,3,0.896,0.791,0.812,3
Q000253,C003,2026-09-14 00:19:00,6,5,12,16,14,clear,0,34,110,165,4,0.921,0.854,0.862,0
Q000254,C004,2026-09-27 10:24:00,57,1,32,19,15,rain,0,36,60,100,2,0.746,0.824,0.822,6
Q000255,C001,2026-09-06 00:36:00,51,4,6,4,9,cloudy,2,37,120,180,4,0.736,0.631,0.81,6
Q000256,C002,2026-10-01 03:29:00,58,3,16,5,11,rain,2,40,90,150,3,0.896,0.791,0.812,3
Q000257,C004,2026-10-01 06:18:00,46,4,8,7,18,clear,0,26,60,100,2,0.746,0.824,0.822,3
Q000258,C003,2026-09-30 04:37:00,37,5,21,15,9,clear,1,36,110,165,4,0.921,0.854,0.862,2
Q000259,C002,2026-09-19 23:28:00,13,3,24,10,11,clear,3,18,90,150,3,0.896,0.791,0.812,5
Q000260,C004,2026-09-10 00:39:00,43,1,29,17,8,cloudy,0,33,60,100,2,0.746,0.824,0.822,3
Q000261,C004,2026-10-01 07:42:00,75,5,9,19,8,cloudy,0,40,60,100,2,0.746,0.824,0.822,3
Q000262,C004,2026-09-27 23:36:00,61,5,29,9,17,clear,1,11,60,100,2,0.746,0.824,0.822,6
Q000263,C004,2026-10-01 06:41:00,76,5,33,14,16,rain,3,43,60,100,2,0.746,0.824,0.822,3
Q000264,C002,2026-09-13 19:20:00,50,3,14,18,10,clear,3,43,90,150,3,0.896,0.791,0.812,6
Q000265,C003,2026-09-26 06:51:00,40,5,25,10,11,clear,2,27,110,165,4,0.921,0.854,0.862,5
Q000266,C002,2026-09-30 22:34:00,22,5,22,14,9,rain,3,42,90,150,3,0.896,0.791,0.812,2
Q000267,C004,2026-09-25 15:39:00,36,4,30,4,16,clear,0,29,60,100,2,0.746,0.824,0.822,4
Q000268,C002,2026-09-03 18:27:00,7,2,13,9,12,cloudy,2,14,90,150,3,0.896,0.791,0.812,3
Q000269,C001,2026-09-14 18:52:00,26,5,6,15,15,clear,1,40,120,180,4,0.736,0.631,0.81,0
Q000270,C004,2026-09-12 04:01:00,65,3,27,5,14,rain,3,25,60,100,2,0.746,0.824,0.822,5
Q000271,C001,2026-09-01 22:39:00,32,2,24,18,11,cloudy,2,42,120,180,4,0.736,0.631,0.81,1
Q000272,C002,2026-09-10 03:51:00,37,4,10,6,10,clear,0,29,90,150,3,0.896,0.791,0.812,3
Q000273,C001,2026-09-20 20:32:00,35,5,13,8,10,cloudy,2,5,120,180,4,0.736,0.631,0.81,6
Q000274,C003,2026-09-22 13:51:00,19,1,9,14,17,clear,2,36,110,165,4,0.921,0.854,0.862,1
Q000275,C003,2026-09-04 16:06:00,40,5,12,9,16,clear,1,31,110,165,4,0.921,0.854,0.862,4
Q000276,C004,2026-09-05 12:55:00,44,2,33,10,18,rain,2,28,60,100,2,0.746,0.824,0.822,5
Q000277,C003,2026-09-11 07:06:00,79,5,20,4,9,cloudy,2,33,110,165,4,0.921,0.854,0.862,4
Q000278,C002,2026-09-30 14:01:00,78,5,12,5,18,rain,3,12,90,150,3,0.896,0.791,0.812,2
Q000279,C004,2026-09-13 00:45:00,69,3,5,20,13,cloudy,3,36,60,100,2,0.746,0.824,0.822,6
Q000280,C001,2026-09-14 20:17:00,24,3,21,6,9,clear,0,45,120,180,4,0.736,0.631,0.81,0
Q000281,C001,2026-09-10 22:43:00,80,2,32,17,9,clear,3,9,120,180,4,0.736,0.631,0.81,3
Q000282,C002,2026-09-02 10:26:00,58,3,6,6,9,clear,1,21,90,150,3,0.896,0.791,0.812,2
Q000283,C001,2026-09-27 12:30:00,29,3,18,16,15,cloudy,3,32,120,180,4,0.736,0.631,0.81,6
Q000284,C003,2026-09-02 02:56:00,49,1,22,4,18,cloudy,0,42,110,165,4,0.921,0.854,0.862,2
Q000285,C001,2026-09-04 15:47:00,45,5,8,13,18,rain,0,23,120,180,4,0.736,0.631,0.81,4
Q000286,C004,2026-09-18 17:06:00,50,1,20,9,16,clear,1,30,60,100,2,0.746,0.824,0.822,4
Q000287,C003,2026-09-30 05:02:00,18,3,26,15,8,cloudy,1,12,110,165,4,0.921,0.854,0.862,2
Q000288,C001,2026-09-01 13:59:00,73,5,17,6,12,clear,2,18,120,180,4,0.736,0.631,0.81,1
Q000289,C004,2026-09-30 18:01:00,65,2,10,9,11,cloudy,2,17,60,100,2,0.746,0.824,0.822,2
Q000290,C001,2026-09-09 14:35:00,72,1,32,18,18,cloudy,0,23,120,180,4,0.736,0.631,0.81,2
Q000291,C001,2026-09-12 18:19:00,12,2,28,19,13,rain,1,20,120,180,4,0.736,0.631,0.81,5
Q000292,C001,2026-09-14 07:56:00,79,1,33,10,13,rain,3,26,120,180,4,0.736,0.631,0.81,0
Q000293,C003,2026-09-27 22:34:00,19,5,23,15,13,rain,1,5,110,165,4,0.921,0.854,0.862,6
Q000294,C003,2026-09-12 13:23:00,28,4,13,15,10,cloudy,2,35,110,165,4,0.921,0.854,0.862,5
Q000295,C004,2026-09-21 14:56:00,45,3,20,7,10,cloudy,0,22,60,100,2,0.746,0.824,0.822,0
Q000296,C002,2026-09-25 20:48:00,25,3,28,6,9,clear,0,42,90,150,3,0.896,0.791,0.812,4
Q000297,C004,2026-09-28 04:58:00,27,1,22,12,16,cloudy,3,14,60,100,2,0.746,0.824,0.822,0
Q000298,C003,2026-09-19 05:12:00,28,5,28,13,10,rain,0,30,110,165,4,0.921,0.854,0.862,5
Q000299,C003,2026-09-24 05:00:00,1,2,32,9,16,clear,3,15,110,165,4,0.921,0.854,0.862,3
Q000300,C002,2026-09-27 03:06:00,72,2,28,19,13,clear,1,36,90,150,3,0.896,0.791,0.812,6
Q000301,C002,2026-09-04 05:09:00,33,3,12,5,18,clear,2,29,90,150,3,0.896,0.791,0.812,4
Q000302,C004,2026-09-22 01:05:00,5,1,25,14,9,cloudy,2,21,60,100,2,0.746,0.824,0.822,1
Q000303,C002,2026-09-18 11:54:00,48,3,23,6,16,rain,3,19,90,150,3,0.896,0.791,0.812,4
Q000304,C004,2026-09-17 09:57:00,44,4,30,19,17,clear,1,33,60,100,2,0.746,0.824,0.822,3
Q000305,C002,2026-09-11 19:42:00,9,5,25,12,11,clear,1,15,90,150,3,0.896,0.791,0.812,4
Q000306,C003,2026-09-28 18:04:00,15,2,18,14,9,rain,3,35,110,165,4,0.921,0.854,0.862,0
Q000307,C002,2026-09-28 05:48:00,20,4,5,11,8,clear,1,13,90,150,3,0.896,0.791,0.812,0
Q000308,C001,2026-09-27 09:34:00,18,1,10,12,10,cloudy,3,43,120,180,4,0.736,0.631,0.81,6
Q000309,C001,2026-09-14 06:06:00,10,2,19,19,15,clear,1,31,120,180,4,0.736,0.631,0.81,0
Q000310,C002,2026-09-27 20:54:00,23,5,26,20,12,clear,2,34,90,150,3,0.896,0.791,0.812,6
Q000311,C001,2026-09-11 19:31:00,48,4,9,7,8,clear,3,14,120,180,4,0.736,0.631,0.81,4
Q000312,C001,2026-09-09 10:17:00,60,5,24,5,16,cloudy,0,10,120,180,4,0.736,0.631,0.81,2
Q000313,C004,2026-09-07 06:51:00,77,5,31,4,18,cloudy,3,38,60,100,2,0.746,0.824,0.822,0
Q000314,C004,2026-09-18 05:03:00,5,5,18,11,15,rain,2,42,60,100,2,0.746,0.824,0.822,4
Q000315,C001,2026-09-20 17:14:00,17,3,20,11,9,rain,3,21,120,180,4,0.736,0.631,0.81,6
Q000316,C002,2026-09-01 14:28:00,0,5,21,7,16,clear,3,18,90,150,3,0.896,0.791,0.812,1
Q000317,C003,2026-09-19 23:04:00,46,1,9,17,18,cloudy,2,21,110,165,4,0.921,0.854,0.862,5
Q000318,C004,2026-09-27 01:16:00,46,5,13,16,11,rain,3,16,60,100,2,0.746,0.824,0.822,6
Q000319,C003,2026-09-26 19:10:00,71,4,13,13,17,rain,3,13,110,165,4,0.921,0.854,0.862,5
Q000320,C001,2026-09-11 19:28:00,57,2,8,10,16,rain,2,40,120,180,4,0.736,0.631,0.81,4
Q000321,C001,2026-09-08 16:04:00,49,1,30,6,10,rain,3,10,120,180,4,0.736,0.631,0.81,1
Q000322,C001,2026-09-13 07:51:00,28,3,7,5,14,rain,2,43,120,180,4,0.736,0.631,0.81,6
Q000323,C001,2026-09-09 07:56:00,63,4,5,10,18,cloudy,2,17,120,180,4,0.736,0.631,0.81,2
Q000324,C001,2026-09-28 15:19:00,65,5,27,11,17,clear,0,28,120,180,4,0.736,0.631,0.81,0
Q000325,C002,2026-10-01 03:57:00,0,2,7,12,14,rain,3,30,90,150,3,0.896,0.791,0.812,3
Q000326,C002,2026-09-24 22:00:00,1,1,34,6,16,rain,2,27,90,150,3,0.896,0.791,0.812,3
Q000327,C003,2026-09-11 15:40:00,77,2,19,16,17,clear,2,16,110,165,4,0.921,0.854,0.862,4
Q000328,C004,2026-09-24 09:26:00,13,5,7,20,12,rain,0,37,60,100,2,0.746,0.824,0.822,3
Q000329,C003,2026-09-25 20:02:00,73,3,27,18,14,cloudy,3,20,110,165,4,0.921,0.854,0.862,4
Q000330,C003,2026-09-22 05:41:00,58,5,32,4,15,clear,2,9,110,165,4,0.921,0.854,0.862,1
Q000331,C004,2026-09-30 04:37:00,28,2,30,14,14,rain,0,21,60,100,2,0.746,0.824,0.822,2
Q000332,C002,2026-09-14 10:17:00,11,4,26,14,9,cloudy,1,35,90,150,3,0.896,0.791,0.812,0
Q000333,C003,2026-09-17 10:39:00,27,5,13,9,18,clear,3,17,110,165,4,0.921,0.854,0.862,3
Q000334,C002,2026-09-12 08:53:00,33,2,12,10,11,cloudy,2,14,90,150,3,0.896,0.791,0.812,5
Q000335,C001,2026-09-06 19:26:00,10,4,24,4,16,clear,3,28,120,180,4,0.736,0.631,0.81,6
Q000336,C003,2026-09-23 18:16:00,73,3,20,9,16,rain,3,19,110,165,4,0.921,0.854,0.862,2
Q000337,C002,2026-09-03 19:38:00,67,4,20,5,16,rain,3,16,90,150,3,0.896,0.791,0.812,3
Q000338,C004,2026-09-06 19:58:00,66,4,15,4,8,cloudy,1,29,60,100,2,0.746,0.824,0.822,6
Q000339,C001,2026-09-16 03:57:00,46,5,32,12,10,cloudy,2,20,120,180,4,0.736,0.631,0.81,2
Q000340,C003,2026-09-22 19:20:00,78,3,16,9,15,rain,1,31,110,165,4,0.921,0.854,0.862,1
Q000341,C003,2026-09-17 23:15:00,51,3,19,9,17,clear,1,11,110,165,4,0.921,0.854,0.862,3
Q000342,C003,2026-09-12 02:03:00,71,4,32,16,11,clear,1,35,110,165,4,0.921,0.854,0.862,5
Q000343,C001,2026-09-09 09:24:00,53,4,9,20,16,cloudy,2,36,120,180,4,0.736,0.631,0.81,2
Q000344,C003,2026-09-12 18:37:00,71,5,6,16,9,cloudy,1,8,110,165,4,0.921,0.854,0.862,5
Q000345,C002,2026-09-12 22:15:00,60,1,19,14,12,rain,2,40,90,150,3,0.896,0.791,0.812,5
Q000346,C003,2026-09-17 00:23:00,2,4,8,15,18,cloudy,1,41,110,165,4,0.921,0.854,0.862,3
Q000347,C002,2026-09-14 07:22:00,45,3,26,20,15,cloudy,3,10,90,150,3,0.896,0.791,0.812,0
Q000348,C004,2026-09-29 06:47:00,36,4,25,8,10,cloudy,2,31,60,100,2,0.746,0.824,0.822,1
Q000349,C004,2026-09-04 14:25:00,10,2,15,11,13,rain,2,22,60,100,2,0.746,0.824,0.822,4
Q000350,C004,2026-09-13 16:46:00,56,3,28,20,15,rain,1,16,60,100,2,0.746,0.824,0.822,6
Q000351,C001,2026-09-07 01:04:00,30,3,35,6,11,clear,3,11,120,180,4,0.736,0.631,0.81,0
Q000352,C001,2026-09-04 06:10:00,60,5,6,4,14,cloudy,0,11,120,180,4,0.736,0.631,0.81,4
Q000353,C003,2026-09-29 11:37:00,19,1,25,16,12,clear,1,23,110,165,4,0.921,0.854,0.862,1
Q000354,C004,2026-09-29 20:47:00,16,2,21,9,8,clear,2,25,60,100,2,0.746,0.824,0.822,1
Q000355,C004,2026-09-22 14:47:00,69,3,22,18,10,cloudy,1,42,60,100,2,0.746,0.824,0.822,1
Q000356,C004,2026-09-30 01:46:00,72,4,21,13,13,rain,1,10,60,100,2,0.746,0.824,0.822,2
Q000357,C004,2026-09-15 08:46:00,46,4,13,8,12,clear,0,38,60,100,2,0.746,0.824,0.822,1
Q000358,C002,2026-09-17 00:06:00,36,4,22,4,15,rain,2,5,90,150,3,0.896,0.791,0.812,3
Q000359,C004,2026-09-14 16:26:00,76,2,30,4,16,rain,1,31,60,100,2,0.746,0.824,0.822,0
Q000360,C004,2026-09-19 07:40:00,31,2,27,16,14,clear,2,10,60,100,2,0.746,0.824,0.822,5
Q000361,C004,2026-09-29 19:31:00,30,5,29,12,12,cloudy,2,31,60,100,2,0.746,0.824,0.822,1
Q000362,C002,2026-09-04 11:16:00,23,2,14,7,18,rain,3,22,90,150,3,0.896,0.791,0.812,4
Q000363,C004,2026-09-09 21:36:00,41,1,9,5,16,clear,1,11,60,100,2,0.746,0.824,0.822,2
Q000364,C003,2026-09-13 14:31:00,16,4,28,4,11,clear,1,5,110,165,4,0.921,0.854,0.862,6
Q000365,C004,2026-09-11 05:43:00,43,4,14,19,13,rain,0,26,60,100,2,0.746,0.824,0.822,4
Q000366,C001,2026-09-08 00:04:00,7,3,29,16,9,cloudy,3,16,120,180,4,0.736,0.631,0.81,1
Q000367,C002,2026-09-12 17:39:00,48,1,8,11,14,rain,1,7,90,150,3,0.896,0.791,0.812,5
Q000368,C002,2026-09-22 07:51:00,12,5,26,10,15,rain,2,25,90,150,3,0.896,0.791,0.812,1
Q000369,C002,2026-09-29 23:42:00,5,5,21,7,12,rain,2,17,90,150,3,0.896,0.791,0.812,1
Q000370,C003,2026-09-03 17:23:00,27,1,12,17,13,clear,1,22,110,165,4,0.921,0.854,0.862,3
Q000371,C001,2026-09-19 08:49:00,31,1,6,19,17,clear,2,10,120,180,4,0.736,0.631,0.81,5
Q000372,C002,2026-09-08 12:44:00,63,1,26,14,18,clear,0,27,90,150,3,0.896,0.791,0.812,1
Q000373,C002,2026-09-25 18:20:00,13,2,20,11,13,cloudy,2,33,90,150,3,0.896,0.791,0.812,4
Q000374,C002,2026-09-02 07:49:00,48,3,28,8,12,clear,3,33,90,150,3,0.896,0.791,0.812,2
Q000375,C003,2026-09-26 01:18:00,62,2,23,9,16,rain,2,34,110,165,4,0.921,0.854,0.862,5
Q000376,C003,2026-09-28 14:25:00,70,2,7,20,10,rain,2,21,110,165,4,0.921,0.854,0.862,0
Q000377,C003,2026-09-22 00:28:00,0,5,17,9,8,cloudy,2,44,110,165,4,0.921,0.854,0.862,1
Q000378,C002,2026-09-15 22:47:00,8,5,31,16,11,cloudy,3,40,90,150,3,0.896,0.791,0.812,1
Q000379,C002,2026-09-29 06:06:00,36,3,18,14,9,clear,0,7,90,150,3,0.896,0.791,0.812,1
Q000380,C002,2026-09-09 11:37:00,4,2,8,19,11,clear,0,41,90,150,3,0.896,0.791,0.812,2
Q000381,C004,2026-10-01 07:07:00,62,5,24,12,8,rain,1,43,60,100,2,0.746,0.824,0.822,3
Q000382,C001,2026-09-01 22:47:00,26,4,34,6,15,cloudy,0,28,120,180,4,0.736,0.631,0.81,1
Q000383,C004,2026-09-18 03:37:00,7,5,13,20,8,cloudy,0,24,60,100,2,0.746,0.824,0.822,4
Q000384,C001,2026-09-11 04:19:00,66,1,8,11,16,rain,1,17,120,180,4,0.736,0.631,0.81,4
Q000385,C002,2026-09-27 07:07:00,80,2,22,17,9,cloudy,2,34,90,150,3,0.896,0.791,0.812,6
Q000386,C004,2026-09-06 02:12:00,21,2,22,16,16,rain,1,39,60,100,2,0.746,0.824,0.822,6
Q000387,C004,2026-09-17 09:19:00,40,5,15,15,14,cloudy,3,25,60,100,2,0.746,0.824,0.822,3
Q000388,C002,2026-09-26 23:36:00,69,2,17,12,13,rain,3,30,90,150,3,0.896,0.791,0.812,5
Q000389,C001,2026-09-02 22:21:00,36,5,5,20,10,rain,0,24,120,180,4,0.736,0.631,0.81,2
Q000390,C002,2026-09-11 03:08:00,40,1,29,12,16,cloudy,1,11,90,150,3,0.896,0.791,0.812,4
Q000391,C001,2026-09-22 07:20:00,45,2,9,12,13,cloudy,1,19,120,180,4,0.736,0.631,0.81,1
Q000392,C003,2026-09-15 00:30:00,11,5,17,10,9,cloudy,2,35,110,165,4,0.921,0.854,0.862,1
Q000393,C002,2026-09-23 13:49:00,73,1,24,13,8,cloudy,3,10,90,150,3,0.896,0.791,0.812,2
Q000394,C001,2026-09-16 13:44:00,44,4,18,7,11,cloudy,0,45,120,180,4,0.736,0.631,0.81,2
Q000395,C004,2026-09-03 19:37:00,39,5,6,14,16,cloudy,1,25,60,100,2,0.746,0.824,0.822,3
Q000396,C002,2026-09-08 07:49:00,6,4,19,20,9,clear,3,23,90,150,3,0.896,0.791,0.812,1
Q000397,C004,2026-09-08 02:10:00,16,3,7,19,17,cloudy,0,40,60,100,2,0.746,0.824,0.822,1
Q000398,C004,2026-09-13 07:16:00,10,4,21,17,10,clear,3,40,60,100,2,0.746,0.824,0.822,6
Q000399,C002,2026-09-23 13:22:00,50,5,11,20,11,clear,0,22,90,150,3,0.896,0.791,0.812,2
Q000400,C004,2026-09-16 01:45:00,73,1,8,17,14,rain,2,17,60,100,2,0.746,0.824,0.822,2
Q000401,C003,2026-09-17 00:48:00,76,1,29,13,10,rain,3,44,110,165,4,0.921,0.854,0.862,3
Q000402,C002,2026-09-21 09:36:00,5,2,11,15,10,cloudy,0,12,90,150,3,0.896,0.791,0.812,0
Q000403,C001,2026-09-12 09:58:00,79,2,32,13,8,rain,0,24,120,180,4,0.736,0.631,0.81,5
Q000404,C004,2026-09-22 19:09:00,2,3,11,10,11,cloudy,2,40,60,100,2,0.746,0.824,0.822,1
Q000405,C004,2026-09-29 17:01:00,18,1,17,20,8,rain,1,8,60,100,2,0.746,0.824,0.822,1
Q000406,C003,2026-09-10 11:42:00,79,3,6,18,18,clear,0,29,110,165,4,0.921,0.854,0.862,3
Q000407,C003,2026-09-17 17:57:00,13,1,14,16,11,rain,0,25,110,165,4,0.921,0.854,0.862,3
Q000408,C004,2026-09-28 12:41:00,68,1,10,10,16,rain,0,7,60,100,2,0.746,0.824,0.822,0
Q000409,C002,2026-09-25 10:45:00,39,3,20,16,10,clear,2,27,90,150,3,0.896,0.791,0.812,4
Q000410,C003,2026-09-29 19:25:00,38,2,21,12,8,cloudy,2,29,110,165,4,0.921,0.854,0.862,1
Q000411,C001,2026-09-26 14:38:00,35,2,9,14,14,cloudy,1,10,120,180,4,0.736,0.631,0.81,5
Q000412,C004,2026-09-25 01:15:00,78,2,18,11,17,clear,3,24,60,100,2,0.746,0.824,0.822,4
Q000413,C003,2026-09-21 19:06:00,69,2,11,8,17,cloudy,1,13,110,165,4,0.921,0.854,0.862,0
Q000414,C003,2026-09-25 04:38:00,17,4,34,8,18,cloudy,1,25,110,165,4,0.921,0.854,0.862,4
Q000415,C001,2026-09-26 17:15:00,68,1,10,14,10,cloudy,0,25,120,180,4,0.736,0.631,0.81,5
Q000416,C004,2026-09-20 01:41:00,38,4,28,12,10,clear,0,13,60,100,2,0.746,0.824,0.822,6
Q000417,C002,2026-09-02 13:06:00,78,5,13,11,17,clear,1,6,90,150,3,0.896,0.791,0.812,2
Q000418,C003,2026-09-04 23:18:00,61,2,21,19,18,rain,1,29,110,165,4,0.921,0.854,0.862,4
Q000419,C004,2026-09-22 22:04:00,17,2,11,11,8,rain,0,22,60,100,2,0.746,0.824,0.822,1
Q000420,C004,2026-09-11 11:35:00,25,2,7,9,15,cloudy,3,25,60,100,2,0.746,0.824,0.822,4
Q000421,C004,2026-09-12 14:03:00,54,4,29,5,17,cloudy,3,25,60,100,2,0.746,0.824,0.822,5
Q000422,C004,2026-09-29 04:25:00,73,5,22,20,18,cloudy,0,38,60,100,2,0.746,0.824,0.822,1
Q000423,C001,2026-09-21 21:46:00,58,1,33,11,16,cloudy,3,7,120,180,4,0.736,0.631,0.81,0
Q000424,C004,2026-09-24 20:14:00,80,1,11,13,15,rain,2,23,60,100,2,0.746,0.824,0.822,3
Q000425,C004,2026-09-08 22:20:00,54,3,24,5,16,clear,3,33,60,100,2,0.746,0.824,0.822,1
Q000426,C001,2026-09-24 03:21:00,14,2,29,8,14,rain,2,33,120,180,4,0.736,0.631,0.81,3
Q000427,C001,2026-09-09 11:52:00,58,5,33,10,15,clear,2,25,120,180,4,0.736,0.631,0.81,2
Q000428,C002,2026-09-06 23:26:00,11,1,27,18,18,rain,0,38,90,150,3,0.896,0.791,0.812,6
Q000429,C004,2026-09-24 15:22:00,78,2,17,16,8,clear,2,41,60,100,2,0.746,0.824,0.822,3
Q000430,C002,2026-09-08 17:34:00,18,2,29,5,14,rain,2,33,90,150,3,0.896,0.791,0.812,1
Q000431,C003,2026-09-29 20:45:00,23,1,33,8,11,clear,2,5,110,165,4,0.921,0.854,0.862,1
Q000432,C004,2026-09-24 00:02:00,63,5,30,4,17,rain,1,18,60,100,2,0.746,0.824,0.822,3
Q000433,C004,2026-09-22 00:06:00,52,4,7,4,11,cloudy,2,44,60,100,2,0.746,0.824,0.822,1
Q000434,C002,2026-09-03 13:55:00,23,2,6,15,8,clear,0,41,90,150,3,0.896,0.791,0.812,3
Q000435,C003,2026-09-16 10:09:00,11,1,8,17,10,clear,2,44,110,165,4,0.921,0.854,0.862,2
Q000436,C002,2026-09-22 01:51:00,74,3,34,5,9,rain,2,28,90,150,3,0.896,0.791,0.812,1
Q000437,C004,2026-09-04 10:24:00,54,5,7,13,15,clear,0,22,60,100,2,0.746,0.824,0.822,4
Q000438,C003,2026-09-25 08:10:00,52,5,11,10,17,clear,0,41,110,165,4,0.921,0.854,0.862,4
Q000439,C001,2026-09-23 08:47:00,77,3,18,14,12,cloudy,2,13,120,180,4,0.736,0.631,0.81,2
Q000440,C004,2026-09-25 00:09:00,80,4,20,9,17,clear,2,17,60,100,2,0.746,0.824,0.822,4
Q000441,C001,2026-09-06 17:36:00,3,4,25,7,11,cloudy,3,31,120,180,4,0.736,0.631,0.81,6
Q000442,C001,2026-09-16 13:05:00,44,5,30,10,8,cloudy,1,23,120,180,4,0.736,0.631,0.81,2
Q000443,C003,2026-09-04 10:35:00,39,3,21,14,8,clear,2,26,110,165,4,0.921,0.854,0.862,4
Q000444,C004,2026-09-27 05:54:00,78,1,31,9,11,rain,2,35,60,100,2,0.746,0.824,0.822,6
Q000445,C004,2026-09-02 23:20:00,17,4,9,18,16,rain,3,31,60,100,2,0.746,0.824,0.822,2
Q000446,C001,2026-09-25 01:39:00,38,5,28,14,16,cloudy,0,18,120,180,4,0.736,0.631,0.81,4
Q000447,C003,2026-09-17 10:43:00,8,2,13,4,13,rain,1,41,110,165,4,0.921,0.854,0.862,3
Q000448,C004,2026-09-09 21:10:00,76,1,32,13,13,cloudy,0,22,60,100,2,0.746,0.824,0.822,2
Q000449,C004,2026-09-05 07:18:00,63,2,16,18,12,clear,2,16,60,100,2,0.746,0.824,0.822,5
Q000450,C001,2026-09-18 09:14:00,4,2,34,6,15,cloudy,0,35,120,180,4,0.736,0.631,0.81,4
Q000451,C002,2026-09-10 00:15:00,43,4,28,20,12,rain,1,11,90,150,3,0.896,0.791,0.812,3
Q000452,C002,2026-09-10 16:37:00,4,4,17,20,9,clear,2,7,90,150,3,0.896,0.791,0.812,3
Q000453,C001,2026-09-16 12:32:00,59,1,8,20,18,cloudy,2,6,120,180,4,0.736,0.631,0.81,2
Q000454,C003,2026-09-30 10:17:00,26,3,11,10,12,rain,2,33,110,165,4,0.921,0.854,0.862,2
Q000455,C001,2026-09-13 18:18:00,19,2,13,7,8,cloudy,0,18,120,180,4,0.736,0.631,0.81,6
Q000456,C003,2026-09-26 08:33:00,40,3,9,13,17,clear,1,9,110,165,4,0.921,0.854,0.862,5
Q000457,C003,2026-09-29 06:20:00,43,5,19,5,10,clear,3,8,110,165,4,0.921,0.854,0.862,1
Q000458,C001,2026-09-18 19:29:00,6,1,18,16,10,cloudy,3,44,120,180,4,0.736,0.631,0.81,4
Q000459,C003,2026-09-15 13:46:00,42,2,27,6,15,cloudy,1,10,110,165,4,0.921,0.854,0.862,1
Q000460,C004,2026-09-05 18:44:00,58,3,26,18,15,clear,1,14,60,100,2,0.746,0.824,0.822,5
Q000461,C003,2026-09-17 21:29:00,50,2,27,14,13,rain,3,6,110,165,4,0.921,0.854,0.862,3
Q000462,C001,2026-09-22 23:41:00,14,3,20,18,10,rain,2,43,120,180,4,0.736,0.631,0.81,1
Q000463,C002,2026-09-24 11:18:00,13,4,31,7,13,cloudy,0,24,90,150,3,0.896,0.791,0.812,3
Q000464,C004,2026-09-19 14:17:00,75,4,12,11,16,clear,3,29,60,100,2,0.746,0.824,0.822,5
Q000465,C001,2026-09-16 20:39:00,26,5,18,17,17,rain,1,16,120,180,4,0.736,0.631,0.81,2
Q000466,C001,2026-09-27 11:40:00,62,1,23,18,13,cloudy,0,33,120,180,4,0.736,0.631,0.81,6
Q000467,C002,2026-09-15 08:57:00,51,1,24,7,18,cloudy,3,25,90,150,3,0.896,0.791,0.812,1
Q000468,C004,2026-09-30 17:00:00,7,1,11,8,17,cloudy,0,14,60,100,2,0.746,0.824,0.822,2
